"","date","probe_name","probe_type","value"
"1","07/01/2021 00:00:00","B2_T2","Temp",18.1
"2","07/01/2021 00:00:00","B2_pH2","pH",4.53
"3","07/01/2021 00:00:00","B1_pH2","pH",8.12
"4","07/01/2021 00:00:00","B1_T2","Temp",17.7
"5","07/01/2021 00:00:00","B1_T1","Temp",17.7
"6","07/01/2021 00:00:00","B1_pH1","pH",8.12
"7","07/01/2021 00:00:00","B2T1","Temp",19.7
"8","07/01/2021 00:00:00","B2pH1","pH",7.99
"9","07/01/2021 00:10:00","B2_T2","Temp",18.1
"10","07/01/2021 00:10:00","B2_pH2","pH",4.53
"11","07/01/2021 00:10:00","B1_pH2","pH",8.12
"12","07/01/2021 00:10:00","B1_T2","Temp",17.8
"13","07/01/2021 00:10:00","B1_T1","Temp",17.7
"14","07/01/2021 00:10:00","B1_pH1","pH",8.12
"15","07/01/2021 00:10:00","B2T1","Temp",19.7
"16","07/01/2021 00:10:00","B2pH1","pH",7.99
"17","07/01/2021 00:20:00","B2_T2","Temp",18
"18","07/01/2021 00:20:00","B2_pH2","pH",4.53
"19","07/01/2021 00:20:00","B1_pH2","pH",8.12
"20","07/01/2021 00:20:00","B1_T2","Temp",17.8
"21","07/01/2021 00:20:00","B1_T1","Temp",17.8
"22","07/01/2021 00:20:00","B1_pH1","pH",8.12
"23","07/01/2021 00:20:00","B2T1","Temp",19.8
"24","07/01/2021 00:20:00","B2pH1","pH",7.98
"25","07/01/2021 00:30:00","B2_T2","Temp",17.8
"26","07/01/2021 00:30:00","B2_pH2","pH",4.53
"27","07/01/2021 00:30:00","B1_pH2","pH",8.12
"28","07/01/2021 00:30:00","B1_T2","Temp",17.8
"29","07/01/2021 00:30:00","B1_T1","Temp",17.8
"30","07/01/2021 00:30:00","B1_pH1","pH",8.12
"31","07/01/2021 00:30:00","B2T1","Temp",19.8
"32","07/01/2021 00:30:00","B2pH1","pH",7.98
"33","07/01/2021 00:40:00","B2_T2","Temp",17.8
"34","07/01/2021 00:40:00","B2_pH2","pH",4.53
"35","07/01/2021 00:40:00","B1_pH2","pH",8.12
"36","07/01/2021 00:40:00","B1_T2","Temp",17.8
"37","07/01/2021 00:40:00","B1_T1","Temp",17.8
"38","07/01/2021 00:40:00","B1_pH1","pH",8.11
"39","07/01/2021 00:40:00","B2T1","Temp",19.8
"40","07/01/2021 00:40:00","B2pH1","pH",7.98
"41","07/01/2021 00:50:00","B2_T2","Temp",17.9
"42","07/01/2021 00:50:00","B2_pH2","pH",4.53
"43","07/01/2021 00:50:00","B1_pH2","pH",8.12
"44","07/01/2021 00:50:00","B1_T2","Temp",17.8
"45","07/01/2021 00:50:00","B1_T1","Temp",17.8
"46","07/01/2021 00:50:00","B1_pH1","pH",8.11
"47","07/01/2021 00:50:00","B2T1","Temp",19.8
"48","07/01/2021 00:50:00","B2pH1","pH",7.98
"49","07/01/2021 01:00:00","B2_T2","Temp",18.3
"50","07/01/2021 01:00:00","B2_pH2","pH",4.54
"51","07/01/2021 01:00:00","B1_pH2","pH",8.12
"52","07/01/2021 01:00:00","B1_T2","Temp",17.7
"53","07/01/2021 01:00:00","B1_T1","Temp",17.7
"54","07/01/2021 01:00:00","B1_pH1","pH",8.11
"55","07/01/2021 01:00:00","B2T1","Temp",19.7
"56","07/01/2021 01:00:00","B2pH1","pH",7.98
"57","07/01/2021 01:10:00","B2_T2","Temp",18.5
"58","07/01/2021 01:10:00","B2_pH2","pH",4.54
"59","07/01/2021 01:10:00","B1_pH2","pH",8.11
"60","07/01/2021 01:10:00","B1_T2","Temp",17.6
"61","07/01/2021 01:10:00","B1_T1","Temp",17.6
"62","07/01/2021 01:10:00","B1_pH1","pH",8.11
"63","07/01/2021 01:10:00","B2T1","Temp",19.6
"64","07/01/2021 01:10:00","B2pH1","pH",7.98
"65","07/01/2021 01:20:00","B2_T2","Temp",18.5
"66","07/01/2021 01:20:00","B2_pH2","pH",4.54
"67","07/01/2021 01:20:00","B1_pH2","pH",8.11
"68","07/01/2021 01:20:00","B1_T2","Temp",17.5
"69","07/01/2021 01:20:00","B1_T1","Temp",17.6
"70","07/01/2021 01:20:00","B1_pH1","pH",8.11
"71","07/01/2021 01:20:00","B2T1","Temp",19.6
"72","07/01/2021 01:20:00","B2pH1","pH",7.98
"73","07/01/2021 01:30:00","B2_T2","Temp",18.1
"74","07/01/2021 01:30:00","B2_pH2","pH",4.54
"75","07/01/2021 01:30:00","B1_pH2","pH",8.11
"76","07/01/2021 01:30:00","B1_T2","Temp",17.5
"77","07/01/2021 01:30:00","B1_T1","Temp",17.5
"78","07/01/2021 01:30:00","B1_pH1","pH",8.11
"79","07/01/2021 01:30:00","B2T1","Temp",19.5
"80","07/01/2021 01:30:00","B2pH1","pH",7.98
"81","07/01/2021 01:40:00","B2_T2","Temp",17.9
"82","07/01/2021 01:40:00","B2_pH2","pH",4.54
"83","07/01/2021 01:40:00","B1_pH2","pH",8.11
"84","07/01/2021 01:40:00","B1_T2","Temp",17.4
"85","07/01/2021 01:40:00","B1_T1","Temp",17.4
"86","07/01/2021 01:40:00","B1_pH1","pH",8.11
"87","07/01/2021 01:40:00","B2T1","Temp",19.5
"88","07/01/2021 01:40:00","B2pH1","pH",7.98
"89","07/01/2021 01:50:00","B2_T2","Temp",17.9
"90","07/01/2021 01:50:00","B2_pH2","pH",4.54
"91","07/01/2021 01:50:00","B1_pH2","pH",8.12
"92","07/01/2021 01:50:00","B1_T2","Temp",17.2
"93","07/01/2021 01:50:00","B1_T1","Temp",17.2
"94","07/01/2021 01:50:00","B1_pH1","pH",8.11
"95","07/01/2021 01:50:00","B2T1","Temp",19.3
"96","07/01/2021 01:50:00","B2pH1","pH",7.98
"97","07/01/2021 02:00:00","B2_T2","Temp",18.1
"98","07/01/2021 02:00:00","B2_pH2","pH",4.54
"99","07/01/2021 02:00:00","B1_pH2","pH",8.12
"100","07/01/2021 02:00:00","B1_T2","Temp",17
"101","07/01/2021 02:00:00","B1_T1","Temp",17.1
"102","07/01/2021 02:00:00","B1_pH1","pH",8.11
"103","07/01/2021 02:00:00","B2T1","Temp",19.1
"104","07/01/2021 02:00:00","B2pH1","pH",7.98
"105","07/01/2021 02:10:00","B2_T2","Temp",18.5
"106","07/01/2021 02:10:00","B2_pH2","pH",4.54
"107","07/01/2021 02:10:00","B1_pH2","pH",8.13
"108","07/01/2021 02:10:00","B1_T2","Temp",16.7
"109","07/01/2021 02:10:00","B1_T1","Temp",16.8
"110","07/01/2021 02:10:00","B1_pH1","pH",8.12
"111","07/01/2021 02:10:00","B2T1","Temp",18.7
"112","07/01/2021 02:10:00","B2pH1","pH",7.99
"113","07/01/2021 02:20:00","B2_T2","Temp",18.3
"114","07/01/2021 02:20:00","B2_pH2","pH",4.54
"115","07/01/2021 02:20:00","B1_pH2","pH",8.13
"116","07/01/2021 02:20:00","B1_T2","Temp",16.4
"117","07/01/2021 02:20:00","B1_T1","Temp",16.5
"118","07/01/2021 02:20:00","B1_pH1","pH",8.12
"119","07/01/2021 02:20:00","B2T1","Temp",18.5
"120","07/01/2021 02:20:00","B2pH1","pH",7.99
"121","07/01/2021 02:30:00","B2_T2","Temp",18.6
"122","07/01/2021 02:30:00","B2_pH2","pH",4.54
"123","07/01/2021 02:30:00","B1_pH2","pH",8.13
"124","07/01/2021 02:30:00","B1_T2","Temp",16.2
"125","07/01/2021 02:30:00","B1_T1","Temp",16.3
"126","07/01/2021 02:30:00","B1_pH1","pH",8.12
"127","07/01/2021 02:30:00","B2T1","Temp",18.3
"128","07/01/2021 02:30:00","B2pH1","pH",7.99
"129","07/01/2021 02:40:00","B2_T2","Temp",18.6
"130","07/01/2021 02:40:00","B2_pH2","pH",4.54
"131","07/01/2021 02:40:00","B1_pH2","pH",8.13
"132","07/01/2021 02:40:00","B1_T2","Temp",16.3
"133","07/01/2021 02:40:00","B1_T1","Temp",16.3
"134","07/01/2021 02:40:00","B1_pH1","pH",8.12
"135","07/01/2021 02:40:00","B2T1","Temp",18.3
"136","07/01/2021 02:40:00","B2pH1","pH",7.99
"137","07/01/2021 02:50:00","B2_T2","Temp",18.5
"138","07/01/2021 02:50:00","B2_pH2","pH",4.52
"139","07/01/2021 02:50:00","B1_pH2","pH",8.13
"140","07/01/2021 02:50:00","B1_T2","Temp",16.5
"141","07/01/2021 02:50:00","B1_T1","Temp",16.5
"142","07/01/2021 02:50:00","B1_pH1","pH",8.12
"143","07/01/2021 02:50:00","B2T1","Temp",18.5
"144","07/01/2021 02:50:00","B2pH1","pH",7.99
"145","07/01/2021 03:00:00","B2_T2","Temp",18.1
"146","07/01/2021 03:00:00","B2_pH2","pH",4.52
"147","07/01/2021 03:00:00","B1_pH2","pH",8.12
"148","07/01/2021 03:00:00","B1_T2","Temp",16.6
"149","07/01/2021 03:00:00","B1_T1","Temp",16.6
"150","07/01/2021 03:00:00","B1_pH1","pH",8.12
"151","07/01/2021 03:00:00","B2T1","Temp",18.6
"152","07/01/2021 03:00:00","B2pH1","pH",7.99
"153","07/01/2021 03:10:00","B2_T2","Temp",18.7
"154","07/01/2021 03:10:00","B2_pH2","pH",4.52
"155","07/01/2021 03:10:00","B1_pH2","pH",8.12
"156","07/01/2021 03:10:00","B1_T2","Temp",16.7
"157","07/01/2021 03:10:00","B1_T1","Temp",16.7
"158","07/01/2021 03:10:00","B1_pH1","pH",8.12
